"id";"id_user";"tags_user";"tags_testset";"id_filme"
2;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"BD-R,might like,";55713
3;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"classic,Fantasy,magic,MST3K,mythology,";106300
4;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"criterion,James Ivory,BD-R,";97070
5;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"Middle East,egyptian,music,understated,beautiful,";57243
6;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"Netflix Finland,documentary,dolphins,Louie Psihoyos,";71462
7;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"Comedy,High school life,characters talk like they are on BtVS,notable:dialogue,knocked up in highschool,";56367
8;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"Batman,film,psychology,";103454
9;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"neo-noir,gangsters,mafia,prohibition,twists & turns,";1245
10;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"gender identity,Gender Issues,medical,psychiatry,";112770
11;11;"post-apocalyptic,psychology,time travel,Brad Pitt,Bruce Willis,Alicia Silverstone,romance,adapted from:book,author:Jane Austen,Teen movie,Comedy,espionage,Téa Leoni does not star in this movie,theme:lying,arnold,good action,dumb dystopia,On TV all the time,Sylvester Stallone,author:Michael Crichton,herds of CGI animals,[bugÂ¿] Ä°s it true that tags that canÃ±ot be dele,nanny,Robin Williams,gender disguise,movie not to see,nanny is secretly blood relative,black and white,hitler,World War II,holocaust,Steven Spielberg,fairy tale,hypochondria,magic,mansion,cyberpunk,dystopia,memory,Philip K. Dick,Sci-Fi,adapted from:game,animation remade as live action,alternate reality,Bob Hoskins,John Leguizamo,";"Lacan,Zizek,Ben Wright,";111031
