96328,274
96328,63
96328,7
96328,1047
96328,67
96328,16
96328,33
96328,1
39037,88
39037,2
39037,1976
39037,232
39037,3091
39037,592
39037,3015
39037,473
33855,823
33855,390
33855,12
33855,597
33855,414
33855,3451
33855,4271
33855,1692
33855,202
33855,216
33855,788
33855,758
33855,1422
33855,2994
33855,135
33855,117
33855,127
33855,102
33851,4210
33851,2384
33851,1520
33851,251
33851,171
33851,24
33851,112
33898,281
33898,1307
33898,25
33898,728
33898,81
33898,154
33898,247
33889,59
33889,63
33889,1011
33889,360
33889,5
33889,2876
33889,851
33889,126
33889,139
27471,102
27471,211
27471,1816
27471,759
27471,3719
27471,81
27471,1874
27471,490
156343,6
156343,64
156343,349
156343,3111
156343,5
156343,30
156343,160
156343,2828
156343,153
156343,48
156343,683
57019,84
57019,2113
57019,4607
57019,1887
57019,33
57019,97
57019,1293
57019,1556
57019,1946
57019,37
115946,1580
115946,4
115946,2422
115946,795
115946,15
115946,1
115946,68
115927,1
115927,2
115927,1311
115927,870
115927,397
115927,1035
115927,122
96305,550
96305,120
96305,568
96305,611
96305,352
96305,146
96305,565
39184,11
39184,12
39184,106
39184,1172
39184,1
39184,148
39184,557
33749,2305
33749,179
33749,109
33749,2
33749,46
33749,232
33749,228
96210,1
96210,110
96210,2884
96210,48
96210,3172
96210,264
96210,12
96210,2
96246,242
96246,105
96246,29
96246,18
96246,32
96246,371
96246,2479
27576,182
27576,636
27576,1155
27576,4674
27576,104
27576,437
27576,1521
33702,1152
33702,1060
33702,748
33702,544
33702,76
33702,340
33702,1154
33702,4
27521,155
27521,24
27521,998
27521,71
27521,225
27521,221
27521,209
27521,491
57168,16
57168,344
57168,271
57168,216
57168,346
57168,382
57168,63
57146,13
57146,1802
57146,224
57146,3790
57146,169
57146,12
57146,252
72935,77
72935,1087
72935,371
72935,719
72935,935
72935,860
72935,794
72935,104
33695,1450
33695,141
33695,76
33695,2764
33695,161
33695,1112
33695,3542
33692,28
33692,308
33692,12
33692,206
33692,44
33692,5
